latitude	longitude	altitude (m)	
51.5505	-0.356666667	48.2	
10.72083333	-61.50616667	117.8	
48.16466667	-122.2683333	116.4	
37.61133333	-77.94916667	80.3	
39.95566667	-75.5845	125.4	
39.73816667	-76.04083333	116.1	
40.06833333	-75.77316667	205.9	
40.071	-75.5205	68.1	
40.16466667	-75.72616667	130.8	
40.11383333	-75.94433333	289.6	
39.94283333	-75.717	84.8	
39.92316667	-75.988	202.6	
41.60633333	-93.6955	290.3	
41.6065	-93.69583333	289.4	
38.073	-122.8333333	57	
40.82633333	-73.562	46.2	
31.23733333	-81.49516667	5.7	
45.5	-67.1	92.5	
42.24333333	-71.19783333	48.3	
52.6705	-3.816833333	108.8	
30.5485	-97.626	216.8	
42.75133333	-73.87883333	94.2	
40.87716667	-82.647	340.5	
34.38766667	-101.7596667	1063.7	
48.869	-122.623	107.4	
39.46333333	-8.198833333	166.4	
50.94933333	-2.626833333	67.4	
42.7245	-71.5575	59	
42.32466667	-85.5485	262.6	
48.7525	13.81883333	824.8	
47.757	11.368	603.8	
-17.01983333	145.3376667	516.7	
41.89883333	-71.1385	16.4	
39.14183333	-76.5075	13.4	
40.43716667	-74.38933333	41.4	
50.958	6.7625	86	
58.275	7.976166667	59.8	
62.10383333	25.64866667	90.4	
30.36216667	-81.55883333	12	
35.1475	-118.507	1193	
37.34133333	-77.63583333	76.5	
38.95583333	-123.5446667	647.2	
34.17633333	-118.598	258.2	
39.52333333	-76.16583333	47.7	
30.25583333	-81.70416667	1.9	
33.921	-118.0543333	43.1	
49.95383333	9.078833333	116.4	
35.84616667	-82.09716667	1056.7	
34.14716667	-81.21533333	111.3	
37.771	-92.65183333	351.1	
41.72833333	-72.78083333	93.1	
42.238	-72.68283333	76.7	
21.29366667	-157.792	206.3	
35.8	-79.1	134.2	
38.0725	-120.5655	457.6	
35.16533333	-118.5038333	1189.3	
50.56666667	9.566666667	278	
19.2955	-81.36966667	3.6	
40.91916667	-77.047	172.6	
58.0145	11.58633333	30.4	
39.44466667	-87.367	155.2	
60.18966667	21.89716667	26.4	
30.40916667	-87.39133333	1.4	
42.27083333	-94.73033333	375.7	
44.37883333	-72.58133333	407.8	
55.4955	9.754166667	13.2	
42.51283333	-72.8495	414.9	
35.26716667	-114.0438333	1065.3	
40.68583333	-112.0105	1333.3	
39.902	-85.92366667	259.1	
29.67333333	-82.70116667	27	
42.897	-85.77916667	185.9	
33.39783333	-110.773	1135.5	
39.23666667	-76.697	28.2	
53.15966667	5.667	0.6	
38.962	-104.7703333	2096.2	
48.30533333	-122.6701667	54.8	
31.84366667	-94.96833333	92.3	
40.32333333	-105.1816667	1700	
50.72033333	-1.270333333	16.9	
48.10633333	11.70833333	543	
37.27466667	-122.023	115	
26.87366667	-80.0695	1.1	
-27.76	153.143	28.4	
47.7	-122.2	54	
37.18333333	-78.13533333	148.3	
43.876	-69.49433333	19.5	
34.182	-118.8986667	193.6	
44.28	-120.9013333	991.4	
38.8	-91.1	250.8	
50.93333333	4.033333333	15	
36.87166667	-121.6555	106.7	
41.87166667	-93.81283333	307.2	
42.8645	-74.72083333	317	
49.44833333	-2.54	77	
39.88366667	-75.0155	17	
28.64333333	-81.293	18.9	
38.14883333	-121.2895	14.3	
35.838	-78.55966667	85.2	
38.78166667	-76.25216667	0	
44.8	-87.3	176.8	
49.09416667	-123.0611667	4.8	
39.015	-95.75283333	294.9	
30.37866667	-87.063	1.6	
42.21216667	-71.11466667	187.8	
43.17616667	-79.47166667	94	
